file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00024_01680.650-01683.250,ནས་གསུངས་པ་ལྟར་ཡིན་པས་དེ་ལ་ཕུང་གསུམ་པ་མེད་དོ།  ,nas gsungs pa ltar yin pas de la phung gsum pa med do/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01680.650-01683.250.wav,STT_TT,3,47,2.599999999999909,wav16k/STT_TT00024_01680.650-01683.250.wav,ནས་གསུངས་པ་ལྟར་ཡིན་པས་དེ་ལ་ཕུང་གསུམ་པ་མེད་དོ།
STT_TT00024_01683.450-01684.300,དེ་ལྟ་མིན་ན་ ,de lta min na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01683.450-01684.300.wav,STT_TT,3,13,0.849999999999909,wav16k/STT_TT00024_01683.450-01684.300.wav,དེ་ལྟ་མིན་ན་
STT_TT00024_01684.500-01688.250,རང་བཞིན་མེད་པ་བསྒྲུབས་པ་ཡིན་གྱི། རང་བཞིན་ཡོད་པ་བཀག་པ་མིན་ནོ་ཞེས་བཟློག་ནས་སྨྲས་ན་ལན་ཅི་ཡོད།  ,rang bzhin med pa bsgrubs pa yin gyi/_rang bzhin yod pa bkag pa min no zhes bzlog nas smras na lan ci yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01684.500-01688.250.wav,STT_TT,3,92,3.75,wav16k/STT_TT00024_01684.500-01688.250.wav,རང་བཞིན་མེད་པར་གྲུབ་པ་ཡིན་གྱི། རང་བཞིན་ཡོད་པ་བཀག་པ་མིན་ནོ་ཞེས་བཟློག་ནས་སྨྲས་ན་ལན་ཅི་ཡོད།
STT_TT00024_01689.550-01691.250,ཡང་གལ་ཏེ་རང་བཞིན་མེད་པ་ ,yang gal te rang bzhin med pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01689.550-01691.250.wav,STT_TT,3,24,1.7000000000000457,wav16k/STT_TT00024_01689.550-01691.250.wav,ཡང་གལ་ཏེ་རང་བཞིན་མེད་པ་
STT_TT00024_01692.050-01694.800,ཡོངས་སུ་གཅོད་ན། རང་བཞིན་མེད་པ་ཚུར་ཡོངས་སུ་གཅོད་ན་ ,yongs su gcod na/_rang bzhin med pa tshur yongs su gcod na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01692.050-01694.800.wav,STT_TT,3,50,2.75,wav16k/STT_TT00024_01692.050-01694.800.wav,ཡོངས་སུ་གཅོད་ན་རང་བཞིན་མེད་པ་ཚུར་ཡོངས་སུ་གཅོད་ན་
STT_TT00024_01695.150-01695.900,རང་བཞིན་ ,rang bzhin _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01695.150-01695.900.wav,STT_TT,3,9,0.75,wav16k/STT_TT00024_01695.150-01695.900.wav,རང་བཞིན་
STT_TT00024_01696.400-01699.700,ཕར་གདོན་མི་ཟ་བ་རྣམ་པར་བཅད་དགོས་པས་སོ་སྙམ་ན། དེ་ལྟ་ན་ ,phar gdon mi za ba rnam par bcad dgos pas so snyam na/_de lta na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01696.400-01699.700.wav,STT_TT,3,53,3.2999999999999545,wav16k/STT_TT00024_01696.400-01699.700.wav,ཕར་གདོན་མི་ཟ་བར་རྣམ་པར་བཅད་དགོས་པས་སོ་སྙམ་ན་ དེ་ལྟ་ན་
STT_TT00024_01699.850-01703.850,རང་བཞིན་ཡོད་པ་རྣམ་པར་བཅད་ན་ཡང་གདོན་མི་ཟ་བར་རང་བཞིན་མེད་པ་ཡོངས་སུ་གཅོད་དགོས་པ་མཚུངས་པ་ཡིན་ནོ།  ,rang bzhin yod pa rnam par bcad na yang gdon mi za bar rang bzhin med pa yongs su gcod dgos pa mtshungs pa yin no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01699.850-01703.850.wav,STT_TT,3,94,4.0,wav16k/STT_TT00024_01699.850-01703.850.wav,རང་བཞིན་ཡོད་པ་རྣམ་པར་བཅད་ན་ཡང་གདོན་མི་ཟ་བར་རང་བཞིན་མེད་པར་ཡོངས་སུ་གཅོད་དགོས་པ་མཚུངས་པ་ཡིན་ོ།
STT_TT00024_01705.000-01705.700,གལ་ཏེ་ ,gal te _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01705.000-01705.700.wav,STT_TT,3,7,0.7000000000000455,wav16k/STT_TT00024_01705.000-01705.700.wav,གལ་ཏེ་
STT_TT00024_01706.350-01712.300,དེ་ཁོ་ན་ཉིད་ལ་དཔྱོད་པའི་སྐབས་ཡིན་པའི་ཕྱིར་ན། རང་བཞིན་མེད་པ་སོགས་ཀྱི་དམ་འཆའ་མི་རུང་། དམ་འཆའ་བ་མི་རུང་ངོ་སྙམ་ན། དེ་ཡི་རྒྱུ་མཚན་ད་དུང་སྨྲོས་ཤིག ,de kho na nyid la dpyod pa'i skabs yin pa'i phyir na/_rang bzhin med pa sogs kyi dam 'cha' mi rung /_dam 'cha' ba mi rung ngo snyam na/_de yi rgyu mtshan da dung smros shig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00024_01706.350-01712.300.wav,STT_TT,3,141,5.9500000000000455,wav16k/STT_TT00024_01706.350-01712.300.wav,དེ་ཁོ་ན་ཉིད་ལ་དཔྱོད་པའི་སྐབས་ཡིན་པའི་ཕྱིར་ན་རང་བཞིན་མེད་པ་སོགས་ཀྱིས་དམ་བཅའ་མི་རུང་དམ་བཅའ་བ་མི་རུང་ངོ་སྙམ་ན། དེའི་རྒྱུ་མཚན་ད་དུང་སྨྲོས་ཤིག
